# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		9174		4180		3238
1		8308		7808		3294
2		7498		10900		3327
3		6826		13554		3328
4		6206		15877		3340
5		5647		17760		3350
6		5302		19516		3356
7		4946		21101		3373
8		4643		22521		3363
9		4319		23735		3396
10		4100		24787		3393
11		3848		25706		3387
12		3620		26548		3391
13		3561		27322		3371
14		3434		28029		3352
15		3275		28752		3369
16		3158		29406		3343
17		3064		29918		3373
18		2987		30469		3386
19		2880		30969		3363
20		2783		31449		3356
21		2764		31880		3369
22		2689		32270		3363
23		2622		32630		3359
24		2615		32960		3367
25		2554		33292		3372
26		2503		33598		3356
27		2484		33912		3368
28		2440		34206		3370
29		2407		34454		3383
30		2368		34713		3374
31		2368		34987		3370
32		2342		35250		3390
33		2297		35481		3382
34		2292		35697		3374
35		2273		35893		3375
36		2264		36113		3384
37		2227		36330		3393
38		2222		36541		3381
39		2193		36744		3380
40		2191		36930		3384
41		2165		37141		3381
42		2132		37307		3390
43		2104		37499		3375
44		2109		37638		3373
45		2084		37815		3377
46		2061		37981		3372
47		2022		38139		3372
48		2015		38262		3383
49		2003		38393		3379
50		1987		38537		3387
51		1982		38695		3395
52		1958		38827		3382
53		1941		38926		3377
54		1933		39013		3368
55		1921		39094		3372
56		1916		39179		3376
57		1909		39250		3390
58		1913		39327		3394
59		1896		39413		3392
60		1898		39489		3395
61		1884		39566		3387
62		1884		39653		3383
63		1869		39752		3401
64		1866		39833		3396
65		1852		39911		3391
66		1849		39973		3396
67		1842		40068		3393
68		1836		40153		3391
69		1833		40198		3395
70		1824		40248		3392
71		1824		40293		3390
72		1823		40349		3387
73		1819		40392		3387
74		1811		40450		3391
75		1810		40518		3393
76		1787		40563		3394
77		1787		40599		3392
78		1773		40665		3393
79		1775		40705		3394
80		1771		40740		3394
81		1769		40778		3400
82		1772		40829		3393
83		1768		40864		3399
84		1769		40904		3395
85		1765		40934		3399
86		1760		40963		3403
87		1760		41003		3403
88		1760		41046		3398
89		1755		41083		3401
90		1762		41116		3400
91		1758		41166		3401
92		1752		41199		3395
93		1743		41230		3399
94		1734		41260		3404
95		1737		41278		3403
96		1732		41298		3401
97		1729		41316		3403
98		1725		41334		3402
99		1722		41354		3408
100		1720		41373		3406
101		1722		41393		3405
102		1723		41414		3404
103		1722		41438		3401
104		1721		41461		3404
105		1715		41491		3398
106		1718		41509		3399
107		1709		41528		3397
108		1709		41542		3396
109		1712		41562		3395
110		1716		41593		3393
111		1713		41616		3398
112		1707		41625		3395
113		1704		41630		3395
114		1701		41639		3394
115		1701		41646		3394
116		1702		41653		3396
117		1703		41658		3397
118		1700		41662		3393
119		1696		41668		3393
120		1701		41676		3394
121		1701		41683		3394
122		1696		41694		3391
123		1691		41702		3392
124		1696		41717		3392
125		1690		41727		3394
126		1687		41732		3394
127		1686		41739		3393
128		1687		41761		3397
129		1687		41764		3395
130		1684		41776		3397
131		1684		41782		3396
132		1683		41799		3395
133		1685		41806		3396
134		1681		41816		3394
135		1679		41822		3393
136		1678		41832		3392
137		1673		41839		3392
138		1675		41844		3392
139		1669		41855		3391
140		1667		41858		3389
141		1664		41861		3390
142		1664		41863		3390
143		1664		41867		3390
144		1664		41868		3390
145		1664		41871		3390
146		1664		41872		3390
147		1664		41872		3390
148		1664		41873		3390
149		1664		41877		3390
150		1664		41879		3390
151		1664		41880		3390
152		1666		41882		3390
153		1668		41888		3390
154		1668		41895		3392
155		1669		41901		3392
156		1672		41911		3390
157		1669		41917		3392
158		1671		41922		3393
159		1670		41927		3393
160		1669		41931		3395
161		1670		41936		3393
162		1669		41938		3393
163		1666		41941		3395
164		1666		41943		3395
165		1664		41947		3396
166		1664		41949		3396
167		1665		41950		3396
168		1662		41953		3396
